"cod_cent";"id";"nombre";"tipo_elem";"x";"y"
"01001";3840;"Jose Ortega y Gasset E-O - P� Castellana-Serrano";"URB";"441615.343346657";"4475767.9421385"
"01002";3841;"Jose Ortega y Gasset O-E - Serrano-P� Castellana";"URB";"441705.882339595";"4475769.68733175"
"01003";3842;"P� Recoletos N-S - Almirante-Prim";"URB";"441319.371258338";"4474841.15423716"
"01004";3843;"P� Recoletos S-N - Pl, Cibeles- Recoletos";"URB";"441301.63298559";"4474763.7275141"
"01005";3844;"(AFOROS) P� Castellana S-N  - Eduardo Dato - Pl,Emilio Castelar";"URB";"441605.765071902";"4476132.13924728"
"01006";3845;"P� Recoletos S-N - Villanueva-Jorge Juan";"URB";"441382.968851413";"4474993.8634694"
"01007";3846;"Sagasta 20 O-E - Mejia Lequerica-Pl, Alonso Martinez";"URB";"440758.289091424";"4475515.12436752"
"01008";3847;"Almagro 7 N-S - Zurbano-Pl, Alonso Martinez";"URB";"441085.139017928";"4475582.13769423"
"01009";3848;"(AFOROS) Genova 13 E-O - Zurbano-Campoamor";"URB";"441114.888348354";"4475374.79938861"
"01010";3849;"PL, SANTA  BARBARA S-N(SERRANO ANGUITA-PL, ALONSO MARTINEZ)";"URB";"440913.426927696";"4475371.54847328"
"01011";3850;"(AFOROS) Genova O-E - General Casta�os-Pl, Colon";"URB";"441254.990156824";"4475271.45945618"
"01012";7029;" P� Recoletos  N-S -  (PL, Colon-B�rbara Braganza)";"URB";"441401.492637174";"4475072.29327272"
"01013";10034;"Barbara Braganza E-O  - P� Recoletos - Marques Ensenada";"URB";"441294.488284123";"4474975.00966206"
"01014";3851;"P� Castellana N-S - Ayala-Pl, Colon";"URB";"441474.792659173";"4475414.14427723"
"01015";7033;"P� Castellana S-N - Pl, Colon-Hermosilla";"URB";"441460.14359159";"4475294.94508151"
"01016";10035;"Marques de la Ensenada N-S - Orellana - Barbara Braganza";"URB";"441225.949486602";"4475017.33978404"
"01017";10036;"Barbara Braganza O-E  - Conde Xiquena-Tamayo y Baus";"URB";"441134.629601492";"4475019.12682102"
"01018";3562;"(AFOROS) P� Castellana N-S - Eduardo Dato-Marques de Riscal";"URB";"441594.078438958";"4475992.19154856"
"01020";3854;"Fernado VI E-O - Campoamor-Hortaleza";"URB";"440920.452508756";"4475212.93663489"
"01021";3855;"HORTALEZA, 75 S-N(TRAVESIA SAN MATEO-FERNANDO VI)";"URB";"440810.764131103";"4475177.51572547"
"01030";3852;"P� Castellana S-N - Pl, Colon-Ayala";"URB";"441454.558170417";"4475270.02564628"
"01301";7026;"(MICRO) P� Recoletos  N-S - Pl, Colon-B�rbara Braganza";"URB";"441404.68126178";"4475071.23352072"
"01302";7011;"(MICRO) Pl, Col�n  (Delante Gr, 6) - (MICRO) Pl, Col�n  (Delante Gr, 6)";"URB";"441437.116590312";"4475217.1832378"
"01303";7030;"(MICRO) Pl, Col�n  (Delante G, 7) - (MICRO) Pl, Col�n  (Delante G, 7)";"URB";"441411.753621468";"4475130.01019905"
"01304";7032;"(MICRO) Pl, Col�n (giro izq, a Genova) (Antes Gr, 10) - (MICRO) Pl, Col�n (giro izq, a Genova) (Antes Gr, 10)";"URB";"441463.721234465";"4475183.75601971"
"02001";3856;"Dr, Esquerdo N-S - O�Donnell-Ibiza";"URB";"443227.954898745";"4474528.03075028"
"02002";3857;"Dr, Esquerdo S-N - Alcalde Sainz Baranda-Ibiza(Giro a Ibiza)";"URB";"443220.030300213";"4474291.80477664"
"02003";3858;"(MICRO)(AFOROS) Dr, Esquerdo S-N  - Ibiza-Alcalde Sainz Barand";"URB";"443211.558503098";"4474314.90242606"
"02004";3859;"Ibiza O-E - Narvaez-Dr, Esquerdo";"URB";"443113.641797385";"4474359.0740713"
"02005";3860;"(AFOROS) Dr, Esquerdo S-N - Alcalde Sainz Baranda-Ibiza";"URB";"443221.926540147";"4474262.73279496"
"02006";3861;"Alcalde Sainz Baranda O-E - Antono Arias- Dr, Esquerdo";"URB";"443142.869866856";"4474200.99785756"
"02007";3862;"Dr, Esquerdo S-N  - Pez Volador-Moneda";"URB";"443196.073507304";"4473891.86636958"
"02008";3863;"(TACTICO) Pez Volador E-O - Cruz del Sur-Dr, Esquerdo";"URB";"443217.544446989";"4473800.43443044"
"02009";3864;"Dr, Esquedo N-S - Samaria-Av, Nazaret (De Frente)";"URB";"443168.696491636";"4473770.8980408"
"02010";3865;"Dr Esquerdo N-S - Samaria-Nazaret(Giro a Astros)";"URB";"443173.21102953";"4473762.83535376"
"02011";3866;"Av, Nazaret O-E - Jesus Aprendiz-Dr, Esquerdo";"URB";"443091.814232517";"4473633.38903287"
"02012";3867;"Dr, Esquerdo N-S - Montano-Gavinet";"URB";"443144.354885635";"4473371.89326568"
"02013";4191;"Dr, Esquerdo S-N - Lira-Estrella Polar";"URB";"443156.226426346";"4473372.3945463"
"02014";3868;"(TACTICO) Lira E-O - Cruz del Sur-Dr, Esquerdo";"URB";"443176.395520359";"4473307.82362581"
"02015";3869;"Dr, Esquerdo S-N - Av, Mediterraneo-Lira";"URB";"443149.26449713";"4473249.50397957"
"02016";4192;"Dr, Esquerdo N-S - Angel Ganivet-Av, Mediterraneo";"URB";"443138.191427464";"4473287.12775724"
"02017";4193;"Av, Mediterrane E-O - Cruz del Sur-Pl, Conde Casa";"URB";"443322.111518761";"4473108.95777"
"02018";3870;"Av, Mediterraneo E-O - Paso Inferior";"URB";"443321.955413141";"4473099.50063339"
"02019";3871;"Fdez, Shaw S-N - Federico Moreno Torroba-Pl, Conde Casal";"URB";"443224.742406629";"4472982.18425757"
"02020";3872;"Dr, Esquerdo S-N - Garibay-Pl, Conde Casal";"URB";"443030.390159122";"4472919.54513215"
"02021";3873;"Av, Mediterraneo O-E - Sanchez Barcaiztegui-Pl, Conde Casal";"URB";"442960.28032495";"4473128.40965568"
"02022";3874;"Av, Mediterraneo O-E - Paso Inferior";"URB";"442958.767049331";"4473136.85266477"
"02023";3875;"Alcalde Sainz Baranda E-O - Vaquerias-Lozoya";"URB";"443399.480676006";"4474313.97215862"
"02024";3876;"Alcalde Sainz Baranda O-E - Lozoya-Esplandiu";"URB";"443403.869172179";"4474306.86980563"
"02025";3877;"(TACTICO) Marques Lozoya S-N - Entrada Alcalde Sainz Baranda";"URB";"443338.395311419";"4474242.69827557"
"02026";3563;"(TACTICO) Alcalde Sainz Baranda E-O - Giro Izq, a Esplandiu";"URB";"443513.861447484";"4474419.96169488"
"02027";3724;"(TACTICO) Juan Esplandiu N-S - Entrada Alcalde Sainz Baranda";"URB";"443538.435724094";"4474393.84560994"
"02028";3725;"(TACTICO) Alcalde Sainz Baranda O-E - Giro Izq, a Vaquerias";"URB";"443475.853984039";"4474357.72576456"
"02029";3564;"(TACTICO) ALCALDE SAINZ BARANDA E-O(GIRO IZQ, A TORRESPANA)";"URB";"443814.144311777";"4474739.85275575"
"02030";3878;"(TACTICO) SALIDA TVE TORRESPANA S-N";"URB";"443796.983232589";"4474705.19960928"
"02031";3726;"Astros E-O - Cruz del Sur-Dr, Esquerdo(Giro Derecha)";"URB";"443250.299468136";"4473638.73178852"
"02032";3601;"Astros E-O - Cruz del Sur-Dr, Esquerdo(De Frente)";"URB";"443249.503549007";"4473631.74422862"
"02034";3880;"Estrella Polar E-O - Puente M-30 -Sirio";"URB";"443779.629373407";"4473583.7577585"
"02035";3881;"Sirio S-N - M-30 -Estrella Polar";"URB";"443653.597777112";"4473513.21739407"
"02036";3602;"Estrella Polar O-E - Pez Austral-Sirio";"URB";"443595.341051254";"4473592.350104"
"02037";3603;"Dr, Esquerdo N-S - Alcalde Sainz Baranda-Moneda";"URB";"443199.156493517";"4474159.35894156"
"02038";3882;"Dr, Esquerdo S-N - Moneda-Alcalde Sainz Baranda";"URB";"443203.297317932";"4473998.81714852"
"02039";3883;"Dr, Esquerdo N-S - Moneda-Samaria";"URB";"443183.470213282";"4473938.40835689"
"02040";3884;"Dr, Esquerdo S-N - Astros-Pez Volador";"URB";"443180.588751538";"4473669.7681346"
"02041";3885;"Dr, Esquerdo N-S - Av, Nazaret-Arias Montano";"URB";"443159.250012184";"4473598.15167834"
